"Level","Institution","Program_Title","Field","Cost","Language","Link"
"Language course","Technische Universität Berlin","Start German","Languages and Cultural Studies in general","EUR 680","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7933/"
"Short course","Technische Universität Berlin","Startup Crash Course","Business and Economics","EUR 2,150","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7939/"
"Master's degree","SRH University","Strategic Design (MA)","Design",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6215/"
"Master's degree","bbw Hochschule - University of Applied Sciences","Strategic Management in Logistics (SMiL)","Industrial Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7763/"
"Short course","HWR Berlin (Berlin School of Economics and Law)","Strategy and Brand Management in the Brewing Industry (BBI)","Business and Economics","EUR 930","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5434/"
"Master's degree","University of Bonn","Strategy and International Security (MSIS)","Political Science",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9112/"
"Master's degree","Neu-Ulm University of Applied Sciences","Stra­te­gic In­for­ma­ti­on Ma­nage­ment (MSc)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9204/"
"Master's degree","Leipzig University","Structural Chemistry and Spectroscopy (SCS)","Chemistry",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7060/"
"Bachelor's degree","University of Duisburg-Essen","Structural Engineering","Civil Engineering",NA,"German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6153/"
"PhD / Doctorate","Universität Hamburg","Structured PhD Programme in Graduate School of Integrated Climate and Earth System Sciences (SICSS)","Earth Sciences (excluding Geography)",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4116/"
"PhD / Doctorate","Humboldt-Universität zu Berlin","Structured PhD Programme in Health Data Sciences","Mathematics, Natural Sciences in general",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8407/"
"Bachelor's degree","Leuphana University Lüneburg","Studium Individuale (BA)","Philosophy",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9685/"
"Preparatory course","University of Potsdam","Study Preparation Brandenburg",NA,NA,NA,"https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5248/"
"Preparatory course","Brandenburg University of Technology Cottbus-Senftenberg","Study Preparation Year: Bridge to Studies – On-Campus Track",NA,NA,NA,"https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9241/"
"Preparatory course","Brandenburg University of Technology Cottbus-Senftenberg","Study Preparation Year: Bridge to Studies – Online Track",NA,NA,NA,"https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8515/"
"Short course","Trier University of Applied Sciences","Study Semester Computer Science for Bachelor's Students","Computer Science","EUR 300","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5149/"
"Short course","Trier University of Applied Sciences","Study Semester Computer Science for Master's Students","Computer Science","EUR 300","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5150/"
"Short course","Trier University of Applied Sciences","Study Semester: Food Economy and Process Technology","Agriculture, Food and Beverage Technology","Price only on request","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9079/"
"Short course","Trier University of Applied Sciences","Study Semester: International Business and Digital Transformation","Business and Economics","EUR 830","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7706/"
"Short course","Trier University of Applied Sciences","Study Semester: Principles of Sustainable Business","Business and Economics","EUR 800","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5023/"
"Master's degree","Ruhr-Universität Bochum","Subsurface Engineering (SubSurf)","Civil Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8397/"
"Language course","Leipzig University","Summer Academy – German as a Foreign Language in Theory and Practice","Didactics of German as a Foreign Language","EUR 1,025","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4895/"
"Language course","University of Göttingen","Summer Course: Learn German at University in Charming Göttingen","German Language Course (including Literature and Culture Studies)","EUR 750","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4904/"
"Language course","Heinrich Heine University Düsseldorf","Summer Courses at Heinrich Heine University: Two/Four Weeks","German Language Course (including Literature and Culture Studies)","EUR 550","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9783/"
"Language course","Aschaffenburg University of Applied Sciences","Summer German Intensive Courses","German Language Course (including Literature and Culture Studies)","EUR 399","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5125/"
"Short course","Kühne Logistics University","Summer School in Sustainability","Business and Economics","EUR 1,800","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9240/"
"Language course","Johannes Gutenberg University Mainz","Summer@Uni-Mainz 2025: International German Language School","German Language Course (including Literature and Culture Studies)","EUR 990","German","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9763/"
"Short course","Otto von Guericke University Magdeburg","Supply Chain Design & Collaboration","Mechanical Engineering / Process Engineering","EUR 1,750","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9769/"
"Master's degree","SRH University","Supply Chain Management (MSc)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7146/"
"Master's degree","SRH University","Supply Chain Management (MSc) – General | Digital SCM | Lean SCM | Reverse SCM | Sustainable SCM","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6427/"
"Master's degree","SRH University","Supply Chain Management – General | Digital | Sustainable (MSc)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7058/"
"Master's degree","SRH University","Sustainability and Circular Economy Management (MA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9696/"
"Master's degree","Ostfalia University of Applied Sciences - Hochschule Braunschweig/Wolfenbüttel","Sustainability and Risk Management (MSc)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7843/"
"Master's degree","bbw Hochschule - University of Applied Sciences","Sustainability and Smart Building Technology","Industrial Engineering",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8449/"
"Short course","HWR Berlin (Berlin School of Economics and Law)","Sustainability Challenges in a Global World","Law, Economics and Social Sciences in general","Price only on request","English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9762/"
"Bachelor's degree","Hochschule Fresenius - University of Applied Sciences","Sustainability in Creative Industries (BA)","Business and Economics",NA,"English","https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9959/"
